key,0,1
9,"TEXT_CTSSFSCHARACTER8_00773_TOPMENU_000_004","Nichts"
10,"TEXT_CTSSFSCHARACTER8_00773_GUIDEMENU_000_000","Was möchtest du wissen?"
11,"TEXT_CTSSFSCHARACTER8_00773_GUIDEMENU_001_000","Wie steigere ich Ameliances Zufriedenheit?"
12,"TEXT_CTSSFSCHARACTER8_00773_GUIDEMENU_007_000","Welche Bedingungen und welche Vergütung gibt es?"
13,"TEXT_CTSSFSCHARACTER8_00773_GUIDEMENU_002_000","Wie komme ich an die gewünschten Sammlerstücke?"
14,"TEXT_CTSSFSCHARACTER8_00773_GUIDEMENU_003_000","Wo bekomme ich die Materialien zum Herstellen der Sammlerstücke?"
15,"TEXT_CTSSFSCHARACTER8_00773_GUIDEMENU_004_000","Wie steigere ich den Wert hergestellter Sammlerstücke?"
16,"TEXT_CTSSFSCHARACTER8_00773_GUIDEMENU_005_000","Wie steigere ich den Wert gesammelter Sammlerstücke?"
17,"TEXT_CTSSFSCHARACTER8_00773_GUIDEMENU_006_000","Wie steigere ich den Wert geangelter Sammlerstücke?"
18,"TEXT_CTSSFSCHARACTER8_00773_GUIDEMENU_CANCEL","Nichts."
19,"TEXT_CTSSFSCHARACTER8_00773_GUIDE_001_000","Indem du die gewünschten Sammlerstücke ablieferst, kannst du Ameliances Zufriedenheit dir gegenüber langsam steigern."
20,"TEXT_CTSSFSCHARACTER8_00773_GUIDE_001_001","Die derzeitige Zufriedenheit wird mit dem Balken oben in der Wunschliste angezeigt. Wenn der Balken voll ist, steigt der Zufrieden<SoftHyphen/>heits<SoftHyphen/>rang. Der derzeitige Zufrieden<SoftHyphen/>heits<SoftHyphen/>rang wird durch die Anzahl der Herzsymbole angezeigt."
21,"TEXT_CTSSFSCHARACTER8_00773_GUIDE_001_002","Des Weiteren kannst du jedes Mal, wenn der Zufrieden<SoftHyphen/>heits<SoftHyphen/>rang steigt, mehr über Ameliance und ihre Bemühungen um die weitere Etablierung des Studienprogramms für ausländische Studenten an der Magieakademie erfahren."
22,"TEXT_CTSSFSCHARACTER8_00773_GUIDE_007_000","Um einen Gegenstand abzuliefern, musst du in die dafür erforderliche Klasse wechseln. Du musst in dieser Klasse mindestens Stufe 70 erreicht haben."
23,"TEXT_CTSSFSCHARACTER8_00773_GUIDE_007_001","Wenn deine Stufe 89 ist, bekommst du Scheine als Vergütung, wenn sie darunter liegt, erhältst du zusätzlich Routine."
24,"TEXT_CTSSFSCHARACTER8_00773_GUIDE_002_000","Wenn du erfahren möchtest, wie du an die Sammlerstücke auf der Wunschliste gelangst, können Untermenüs oder ein Blick in die Gegen<SoftHyphen/>stands<SoftHyphen/>beschrei<SoftHyphen/>bungen helfen."
25,"TEXT_CTSSFSCHARACTER8_00773_GUIDE_002_001","Verwende als Handwerker bei ausgewählter Wunschliste das Untermenü „Syntheserezept suchen“, um die Rezepte im Handwerker-Notizbuch anzuzeigen."
26,"TEXT_CTSSFSCHARACTER8_00773_GUIDE_002_002","Verwende als Minenarbeiter oder Gärtner bei ausgewählter Wunschliste das Untermenü „Nach Sammelmethode suchen“, um die Sammelstellen im Sammler-Notizbuch anzuzeigen."
27,"TEXT_CTSSFSCHARACTER8_00773_GUIDE_002_003","Wirf als Fischer bei ausgewählter Wunschliste einen Blick in die Gegen<SoftHyphen/>stands<SoftHyphen/>beschrei<SoftHyphen/>bungen. Sie geben Hinweise darauf, an welchen Angelstellen du die Fische angeln kannst."
28,"TEXT_CTSSFSCHARACTER8_00773_GUIDE_002_004","Alle Gegenstände, die bei Ameliance abgegeben werden, gelten als Sammlerstücke, egal ob sie von Handwerkern, Sammlern oder Fischern abgegeben werden."
29,"TEXT_CTSSFSCHARACTER8_00773_GUIDE_003_000","Die Materialien, die du zum Anfertigen der gewünschten Gegenstände benötigst, kannst du bei Synnove in der Agora kaufen."
30,"TEXT_CTSSFSCHARACTER8_00773_GUIDE_004_000","Um als Handwerker den Sammlerwert ansteigen zu lassen, muss man Gegenstände von möglichst hoher Qualität herstellen - darin liegt der ganze Trick."
31,"TEXT_CTSSFSCHARACTER8_00773_GUIDE_004_002","Immer wenn du erfolgreich ein Kommando anwendest, das die Qualität verbessert, erhältst du den Status „Innere Ruhe“."
32,"TEXT_CTSSFSCHARACTER8_00773_GUIDE_004_003","Versuche während der Bearbeitung so viel „Innere Ruhe“ wie möglich zu sammeln und verwende zum Abschluss Kommandos wie „Byregots Benediktion“, um die Qualität noch mal auf einen Schlag zu erhöhen."
33,"TEXT_CTSSFSCHARACTER8_00773_GUIDE_004_004","Es gibt auch noch weitere Kommandos, mit denen du die Qualität verbessern kannst. Sobald du etwas Übung bekommen hast, solltest du experimentieren, bis du die Herstellungsweise findest, die für dich am besten funktioniert."
34,"TEXT_CTSSFSCHARACTER8_00773_GUIDE_005_000","Wenn ein Sammlerstück zum Abbau gewählt wird, öffnet sich ein spezielles Fenster. Nun gilt es, den Sammlerwert dieses Gegenstands zu steigern."
35,"TEXT_CTSSFSCHARACTER8_00773_GUIDE_005_001","Minenarbeiter und Gärtner können den Sammlerwert ihrer Fundstücke mit „Prüfender Blick“, gefolgt von „Lese“ beeinflussen. Versuche, einen Gegenstand auf diese Weise zu sammeln, ohne dass der Ausschuss dabei auf das Maximum steigt."
36,"TEXT_CTSSFSCHARACTER8_00773_GUIDE_005_002","Legst du Wert auf einen hohen Sammlerwert, dann solltest du Ausrüstung mit hohem „Sammelgeschick“ und hoher „Wahrnehmung“ anlegen. Diese Attribute steigern die Effizienz der Kommandos, die einen direkten Einfluss auf den Sammlerwert haben."
37,"TEXT_CTSSFSCHARACTER8_00773_GUIDE_005_003","Natürlich brauchst du für diese Kommandos auch ausreichend SP, die passende Ausrüstung ebenfalls maximieren kann."
38,"TEXT_CTSSFSCHARACTER8_00773_GUIDE_006_000","Bei Fischen und Meeresfrüchten kommt es auf die Größe an, denn diese bestimmt direkt den Sammlerwert."
39,"TEXT_CTSSFSCHARACTER8_00773_GUIDE_006_001","Begib dich zu einer Angelstelle, an der die Fische beißen, die auf der Wunschliste stehen, verwende das Kommando „Sammlergespür“ und wirf die Angel aus."
40,"TEXT_CTSSFSCHARACTER8_00773_GUIDE_006_002","Du kannst einen großen Brocken an Land ziehen, indem du das Kommando „Geduld II“ einsetzt und den richtigen Anschlag auswählst."
41,"TEXT_CTSSFSCHARACTER8_00773_GUIDE_006_003","Wenn nichts Großes anbeißt, liegt das vielleicht an deiner Ausrüstung. Lege am besten etwas an, das deine Wahrnehmung erhöht. "
42,"TEXT_CTSSFSCHARACTER8_00773_TUTORIAL_000_000","Es gibt drei verschiedene Arten von Sammlerstücken, die du bei Ameliance abliefern kannst: Solche, die du als Handwerker herstellst, solche, die du als Minenarbeiter oder Gärtner sammelst, und solche, die du als Fischer fängst."
43,"TEXT_CTSSFSCHARACTER8_00773_TUTORIAL_000_008","Um einen Gegenstand abzuliefern, musst du in die dafür erforderliche Klasse wechseln. Du musst in dieser Klasse mindestens Stufe 70 erreicht haben."
44,"TEXT_CTSSFSCHARACTER8_00773_TUTORIAL_000_009","Wenn deine Stufe 89 ist, bekommst du Scheine als Vergütung, wenn sie darunter liegt, erhältst du zusätzlich Routine."
45,"TEXT_CTSSFSCHARACTER8_00773_TUTORIAL_000_001","Du hast folgende Möglichkeiten, um zu erfahren, wie du an die Sammlerstücke auf der Wunschliste gelangst."
46,"TEXT_CTSSFSCHARACTER8_00773_TUTORIAL_000_002","Verwende als Handwerker bei ausgewählter Wunschliste das Untermenü „Syntheserezept suchen“, um die Rezepte im Handwerker-Notizbuch anzuzeigen."
47,"TEXT_CTSSFSCHARACTER8_00773_TUTORIAL_000_003","Die Materialien, die du zum Anfertigen der gewünschten Gegenstände benötigst, kannst du bei Synnove in der Agora kaufen."
48,"TEXT_CTSSFSCHARACTER8_00773_TUTORIAL_000_004","Verwende als Minenarbeiter oder Gärtner bei ausgewählter Wunschliste das Untermenü „Nach Sammelmethode suchen“, um die Sammelstellen im Sammler-Notizbuch anzuzeigen."
49,"TEXT_CTSSFSCHARACTER8_00773_TUTORIAL_000_005","Wirf als Fischer bei ausgewählter Wunschliste einen Blick in die Gegen<SoftHyphen/>stands<SoftHyphen/>beschrei<SoftHyphen/>bungen. Sie geben Hinweise darauf, an welchen Angelstellen du die Fische angeln kannst."
50,"TEXT_CTSSFSCHARACTER8_00773_TUTORIAL_000_006","Für alle Sammlerstücke gilt: Je höher der Sammlerwert, desto größer ist die Belohnung, die du beim Abliefern von Ameliance erhältst."
51,"TEXT_CTSSFSCHARACTER8_00773_TUTORIAL_000_007","Wenn du erfahren möchtest, wie du den Sammlerwert steigern kannst, dann sprich mit Ameliance und wähle die Dialogoption „Fragen zu Wunschlieferungen stellen“."
52,"TEXT_CTSSFSCHARACTER8_00773_TUTORIAL_001_000","Ameliance ist zufrieden mit dir, weil du das gewünschte Sammlerstück abgeliefert hast."
53,"TEXT_CTSSFSCHARACTER8_00773_TUTORIAL_001_001","Wenn du etwas ablieferst, füllt sich der Balken, der anzeigt, wie zufrieden Ameliance mit dir ist. Wenn der Balken voll ist, steigt der Zufrieden<SoftHyphen/>heits<SoftHyphen/>rang und du kannst eine neue Geschichte miterleben, die sich um deine Geschäftspartnerin Ameliance dreht."
54,"TEXT_CTSSFSCHARACTER8_00773_TUTORIAL_001_002","Pro Woche kannst du höchstens sechsmal Sammlerstücke abliefern. Liefere fleißig und steigere so den Zufrieden<SoftHyphen/>heits<SoftHyphen/>rang."
55,"TEXT_CTSSFSCHARACTER8_00773_WEEKLYLIMIT_000_000","Du hast diese Woche bereits deine Grenze an Sammlerstücklieferungen bei Ameliance erreicht.
Ab <ResetTime>1203</ResetTime><Switch(TopLevelParameter(220))><Case(1)>Sonntag</Case><Case(2)>Montag</Case><Case(3)>Dienstag</Case><Case(4)>Mittwoch</Case><Case(5)>Donnerstag</Case><Case(6)>Freitag</Case><Case(7)>Samstag</Case></Switch> um <If(TopLevelParameter(218))><Switch(TopLevelParameter(218))><Case(1)>1</Case><Case(2)>2</Case><Case(3)>3</Case><Case(4)>4</Case><Case(5)>5</Case><Case(6)>6</Case><Case(7)>7</Case><Case(8)>8</Case><Case(9)>9</Case><Case(10)>10</Case><Case(11)>11</Case><Case(12)>12</Case><Case(13)>13</Case><Case(14)>14</Case><Case(15)>15</Case><Case(16)>16</Case><Case(17)>17</Case><Case(18)>18</Case><Case(19)>19</Case><Case(20)>20</Case><Case(21)>21</Case><Case(22)>22</Case><Case(23)>23</Case></Switch><Else/>0</If>:00 Uhr (Erdenzeit) kannst du ihm wieder Sammlerstücke liefern."
56,"TEXT_CTSSFSCHARACTER8_00773_KNOWLEDGE_AMELIANCE_001_000","Die Studenten werden die besten Schreibutensilien benötigen<Indent/>- nicht nur, um sich Notizen in Vorlesungen zu machen, sondern auch um rituelle Prozeduren zu transkribieren und Zaubersprüche niederzuschreiben. Je größer die ätherische Leitfähigkeit dieser Waren ist, desto förderlicher werden sie für ihre Studien sein."
57,"TEXT_CTSSFSCHARACTER8_00773_KNOWLEDGE_AMELIANCE_001_001","Studenten der magischen Künste benötigen geeignete Hilfsmittel, um ihre Fertigkeiten zu verfeinern. Egal, ob es sich um Noulithen, eine Planisphäre oder ein magisches Gebräu handelt<Indent/>- es gibt unzählige Optionen, solange die Qualität zufriedenstellend ist. Was hast du mir heute mitgebracht?"
58,"TEXT_CTSSFSCHARACTER8_00773_KNOWLEDGE_AMELIANCE_001_002","Als Sharlayanerin weiß ich nur nur zu gut, dass wir bei unserer Küche weniger Wert auf Geschmack legen und vor allem auf Nahrhaftigkeit bedacht sind. Doch dank der Begegnungen mit ausländischen Studenten haben nicht wenige Sharlayaner ein Interesse an den kulinarischen Produkten anderer Kulturen entwickelt. Ich wäre dir daher äußerst dankbar, wenn du Brotdosen beschaffen könntest, in denen Essen warm gehalten werden kann."
59,"TEXT_CTSSFSCHARACTER8_00773_KNOWLEDGE_AMELIANCE_001_003","Marionetten sind ein unverzichtbares Werkzeug, um Studenten dabei zu helfen, ihre Manipulation des Äthers zu kontrollieren. Für das Erzielen klarer Resultate ist es dabei von höchster Wichtigkeit, dass die Marionette enorm leitfähig für Äther ist. Die Materialien zu ihrer Herstellung, vom Kern bis zu den kleinsten Details wie der Kleidung, müssen folglich ebenso leitfähig sein."
60,"TEXT_CTSSFSCHARACTER8_00773_KNOWLEDGE_AMELIANCE_001_004","Die am schlimmsten von den Letzten Tagen betroffenen Regionen benötigen dringend Schulmaterial, und ich würde ihnen gerne welches liefern. Bevorzugt langlebige Gegenstände, doch jedes kleine bisschen hilft."
61,"TEXT_CTSSFSCHARACTER8_00773_KNOWLEDGE_AMELIANCE_002_000","Wenn man einen Zauberspruch oder ein Ritual auf einem Pergament niederschreibt, erzielt man die besten Resultate, wenn nicht nur die Tinte, sondern auch der Pinsel eine hohe Leitfähigkeit für Äther aufweist. Da dafür vor allem Federn benötigt werden, schätze ich gerne die Ätherleitfähigkeit von dir beschaffter Exemplare ein."
62,"TEXT_CTSSFSCHARACTER8_00773_KNOWLEDGE_AMELIANCE_002_001","Wie du sicher bereits weißt, sind die Kristalle der wesentliche Katalysator für magische Gegenstände<Indent/>- und je reiner der Kristall ist, desto größer ist seine Wirksamkeit. Die Beschaffung derlei hochwertiger Kristalle ist allerdings keine leichte Aufgabe<Indent/>..."
63,"TEXT_CTSSFSCHARACTER8_00773_KNOWLEDGE_AMELIANCE_002_002","Leute, die in ihre Arbeit vertieft sind, vergessen gerne mal, zu üblichen Zeiten zu essen<Indent/>- und Studenten bilden da keine Ausnahme. Daher möchte ich sie mit ätherothermischen Brotdosen versorgen, in denen ihr Essen viele Glocken lang frisch bleibt. Fall du Material mit isolierenden Eigenschaften hast, würde ich mich sehr darüber freuen."
64,"TEXT_CTSSFSCHARACTER8_00773_KNOWLEDGE_AMELIANCE_002_003","Marionetten benötigen eine stetige Versorgung mit Schmieröl, um ihre Gliedmaßen in Gang zu halten. Doch nicht jedes Schmieröl eignet sich dafür<Indent/>- je unreiner das Öl ist, desto weniger empfänglich wird die Marionette für ätherische Manipulation."
65,"TEXT_CTSSFSCHARACTER8_00773_KNOWLEDGE_AMELIANCE_002_004","Die am schlimmsten von den Letzten Tagen betroffenen Regionen benötigen dringend Schulmaterial, und ich möchte ihnen so gut es geht helfen. Daher bin ich auf der Suche nach möglichst haltbaren Materialien, die in jeder Umgebung eingesetzt werden können. "
66,"TEXT_CTSSFSCHARACTER8_00773_KNOWLEDGE_AMELIANCE_003_000","Schreibtinte wird durch einen komplexen Prozess hergestellt, bei dem eine Mixtur einer einzigartigen Lösung zum Einsatz kommt, aus der das Endprodukt extrahiert wird. Je besser die Zutaten dafür sind, desto besser fühlt sich das Schreiben mit der Tinte später an."
67,"TEXT_CTSSFSCHARACTER8_00773_KNOWLEDGE_AMELIANCE_003_001","Kröten eignen sich für vielerlei Dinge, doch an der Magieakademie werden sie vor allem als Familiare eingesetzt. Falls du auf eine besonders scharfsinnige triffst, würde sie mit Sicherheit ein gutes Familiar abgeben!"
68,"TEXT_CTSSFSCHARACTER8_00773_KNOWLEDGE_AMELIANCE_003_002","Eine hübsche, gut durchdachte Brotdose hat den unterbewussten Effekt, den eigenen Appetit anzuregen, findest du nicht auch? Nun, die meisten Sharlayaner sehen das wohl nicht so. Die Studenten würden so etwas jedoch sicherlich zu schätzen wissen!"
69,"TEXT_CTSSFSCHARACTER8_00773_KNOWLEDGE_AMELIANCE_003_003","Wusstest du, dass die Augen einer Marionette aus Licht emittierendem Material besteht? Es schaudert mir bei dem Gedanken daran, wie mir ein derart funkelnden Paar Augen einst in der Dunkelheit begegnete<Indent/>- das war eine ziemlich traumatisierende Erfahrung. Es gibt ein Reihe vermuteter Gründe, warum Marionetten so entworfen sind<Indent/>- einer davon ist, dass es ihnen erlaubt, in Umgebungen zu operieren, in denen es kein Licht gibt. "
70,"TEXT_CTSSFSCHARACTER8_00773_KNOWLEDGE_AMELIANCE_003_004","Der Magistrat von Rdaz-at-Han hat freund<SoftHyphen/>li<SoftHyphen/>cher<SoftHyphen/>wei<SoftHyphen/>se die Nutzung natürlicher Ressourcen aus Thavnair gestattet, um Lehrmaterial für die Weltweite Verwendung daraus herzustellen und so anderen von den Letzten Tagen betroffenen Nationen zu helfen. Aus einer hochwertigen Koralle ließe sich gewiss eine großartige Kreidefarbe herstellen, um den Schultag von Kindern zu erhellen!"
71,"TEXT_CTSSFSCHARACTER8_00773_JUDGEMENT_AMELIANCE_000_000","Ich wusste, du würdest mich nicht enttäuschen, <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>! Ich kann mit Freuden behaupten, dass ich keinerlei Probleme mit der Qualität habe. Für unsere Zwecke ist sie auf jeden Fall mehr als ausreichend!"
72,"TEXT_CTSSFSCHARACTER8_00773_JUDGEMENT_AMELIANCE_000_001","Ach du meine Güte, das ist ja eine bemerkenswerte Qualität! Ich kann dir gar nicht genug für deinen Einsatz danken<Indent/>... Ich könnte mir vorstellen, dass die Nachfrage das Angebot übersteigen wird, wenn sich das unter den Studenten herumspricht."
73,"TEXT_CTSSFSCHARACTER8_00773_JUDGEMENT_AMELIANCE_000_002","Ich ... Mir fehlen die Worte. Das ist einfach herausragend! Wenn sich die Studenten an so eine vorzügliche Qualität gewöhnten, würde sie wohl nichts anderes mehr zufriedenstellen. Keine Sorge, ich werde ihnen genau erklären, um was für eine besondere Güte es sich dabei handelt."
74,"TEXT_CTSSFSCHARACTER8_00773_JUDGEMENT_AMELIANCE_000_003","Ah, das ist perfekt! Ein derlei empfindliches Material macht die Marionette mit Sicherheit für die von Heilmagie benötigte Präzision empfänglich."
75,"TEXT_CTSSFSCHARACTER8_00773_JUDGEMENT_AMELIANCE_000_004","Ich kann dir nicht sagen, wie viele Kinder nun eine leuchtendere Zukunft vor sich haben, doch du solltest wissen, dass deine Bemühungen viel dazu haben. Ich hoffe, dass wir noch mehr junge Seelen erreichen können, damit eines Tages alle die Möglichkeit haben, zu lernen<Indent/>..."
76,"TEXT_CTSSFSCHARACTER8_00773_FULLBAG_000_000","Du kannst deine Belohnung nicht erhalten, da dein Inventar voll ist."
77,"TEXT_CTSSFSCHARACTER8_00773_FULLBAG_000_001","Schaffe bitte Platz in deinem Inventar und sprich dann erneut mit Ameliance."
78,"TEXT_CTSSFSCHARACTER8_00773_BEFRANKUP_AMELIANCE_000_000","Perfekt, das ist fürs Erste mehr als ausreichend. Du warst so eine tolle Hilfe, <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>. Ich wüsste nicht, wen ich lieber an meiner Seite hätte! Ich danke dir vielmals."
79,"TEXT_CTSSFSCHARACTER8_00773_BEFRANKUP_AMELIANCE_000_001","Nun, ich vermute, die meisten Kinder wissen gar nicht, dass <If(PlayerParameter(4))>die<Else/>der</If> legendäre <If(PlayerParameter(4))>Kriegerin<Else/>Krieger</If> des Licht auch <If(PlayerParameter(4))>eine vorzügliche Handwerkerin<Else/>ein vorzüglicher Handwerker</If> ist, nicht wahr? Ich denke, dagegen sollten wir etwas unternehmen<Indent/>- verzeih mir, wenn ich dich in meinem nächsten Brief an sie dahingehend lobe."
80,"TEXT_CTSSFSCHARACTER8_00773_BEFRANKUP_AMELIANCE_001_000","Die von dir beschafften magischen Gegenstände waren ein umfassender Erfolg bei den Studenten! Selbst mein früherer Mentor hat mich mit Lob überschüttet<Indent/>- ich habe ihm natürlich gesagt, dass wir das alles dir zu verdanken haben."
81,"TEXT_CTSSFSCHARACTER8_00773_BEFRANKUP_AMELIANCE_001_001","Ich hoffe nur, dass sie auch für Mila nützlich sein werden. Sie scheint ein Gespür für Magie zu haben, daher hege ich keinerlei Zweifel, dass sie sich schnell verbessern könnte<Indent/>- solange sie nur ein gutes Gefühl für die Grundlagen bekommt. Leider ist dies eines dieser Dinge, die sie alleine hinbekommen muss, während ich nur bangend zu sehen kann und doch so gerne helfen würde<Indent/>..."
82,"TEXT_CTSSFSCHARACTER8_00773_BEFRANKUP_AMELIANCE_002_000","<Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>, ich habe wundervolle Nachrichten! Dank deiner Bemühungen schwinden die Bedenken der Studenten hinsichtlich des Essens in der Cafeteria!"
83,"TEXT_CTSSFSCHARACTER8_00773_BEFRANKUP_AMELIANCE_002_001","Ich fühle mich an die Schulzeiten von Alphinaud und Alisaie erinnert<Indent/>- Alisaie bat mich stets darum. ihr ein Mittagessen vorzubereiten, während Alphinaud seinen Appetit jeden Tag mit Exegetenbrot zügelte. Unter uns gesagt: Er und sein Vater sind sich geradezu <Emphasis>unheimlich</Emphasis> ähnlich."
84,"TEXT_CTSSFSCHARACTER8_00773_BEFRANKUP_AMELIANCE_003_000","Ah, <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>! Du bist so was von zuverlässig, <If(PlayerParameter(4))>meine Liebe<Else/>mein Lieber</If>. Oder vielleicht verlässt sich unsere Familie einfach zu sehr auf dich? Aber keine Sorge, ich denke es gibt da eine Lösung und ich denke, sie ist seit langem überfällig: Wir könnten dich einfach adoptieren!"
85,"TEXT_CTSSFSCHARACTER8_00773_BEFRANKUP_AMELIANCE_003_001","... Das war doch nur ein Spaß. Tatsächlich rückt der Tag näher, an dem Mila nach Hause zurückkehren muss, und ich fühle mich ein wenig einsam bei dem Gedanken<Indent/>..."
86,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_MILADEEN_001_001","Ich bin wieder da!"
87,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_AMELIANCE_001_002","Ah, Mila! Wie war dein erster Unterrichtstag? Hast du ein paar Freunde gefunden?"
88,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_MILADEEN_001_003","Das habe ich! Oh, es hat so viel Spaß gemacht! Alle waren so freundlich und aufmerksam. Es fühlte sich  alles so anders und neu an<Indent/>- eine gänzlich neue Erfahrung für mich!"
89,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_AMELIANCE_001_004","Das freut mich zu hören. Und ich muss sagen, die Uniform steht dir richtig gut."
90,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_MILADEEN_001_005","Hehe, vielen Dank! Ich verspreche Euch, ich werde Eure Güte vergelten und meine Mutter davon überzeugen, den von mir eingeschlagenen Weg zu akzeptieren, indem ich das Weben von Magie vor meiner Heimkehr meistere!"
91,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_AMELIANCE_001_006","Deine Mutter ... überzeugen?"
92,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_MILADEEN_001_007","In meiner Familie wird seit Generationen die Tradition der Alchemie gepflegt. Insbesondere haben wir unsere Herzen und unsere Seelen in die Herstellung von Medizin gesteckt."
93,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_MILADEEN_001_008","Doch die Letzten Tage haben alles verändert. Ich habe mit eigenen Augen gesehen, dass es unzählige Leben gibt, die selbst Medizin nicht zu retten vermag<Indent/>..."
94,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_MILADEEN_001_009","Darum habe ich mich entschieden, die Heilmagie zu erlernen und mich nach Sharlayan begeben. Ehrlich gesagt war meine Mutter entschieden dagegen, doch mein Vater hat mich unterstützt und mich in letzter Minute gehen lassen."
95,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_AMELIANCE_001_010","Ich verstehe ... Doch selbst wenn das Praktizieren der Alchemie eine lange gehegte Familientradition ist, sehe ich keinen Grund, warum deine Mutter so vehement gegen dein Studium der Magie ist. Weißt du, woran das liegt?"
96,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_MILADEEN_001_011","Ich bin mir nicht ganz sicher, aber ... die alchemistische Tradition ist seit langem der ganze Stolz meiner Familie, daher könnte mein Studium der Magie womöglich als Bruch mit diesem Erbe verstanden werden. "
97,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_MILADEEN_001_012","Ich bin äußerst stolz auf das Vermächtnis meiner Familie und ihren Beiträgen zur Alchemie. Doch wenn ich durch das Ablehnen der Tradition mehr Leben retten kann, treffe ich diese Entscheidung gerne. Was immer auch nötig ist, ich werde erst nach Hause zurückkehren, wenn ich die Heilkünste gemeistert habe!"
98,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_MILADEEN_001_013","Ich muss jedoch zugeben, dass ich dabei erst ganz am Anfang steh und noch viel zu lernen habe. Ich bin überrascht, dass die Universität meine Bewerbung für das Studienprogramm überhaupt akzeptiert hat."
99,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_AMELIANCE_001_014","Viele Dank, dass du deine Geschichte mit uns geteilt hast, Mila. Du kannst dir unserer vollen Unterstützung gewiss sein. Wir werden alles unternehmen, um dies zu einer lohnenden Erfahrung für dich zu machen."
100,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_MILADEEN_001_015","Ihr seid zu gütig, Frau Ameliance! Als Anfängerin habe ich einiges an Boden gutzumachen, aber ich möchte nicht hinter meinen Kommilitonen zurückstehen. Ich werde mein Bestes geben!"
101,"TEXT_CTSSFSCHARACTER8_00773_LCUT_RANKUP_MILADEEN_002_001","Oh, hallo, <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>! Ich wusste gar nicht, dass du in der Gegend bist."
